Client,Data_GB,Avg_Read_Ops_s,Avg_Write_Ops_s,Total_IOPS,Data_Share,IOPS_Share,Weighted_Share,Monthly_Cost
bmc,2365.44,807.513,693.699,1501.212,0.004783,0.003163,0.003973,953.49
bozemanhealth,223.57,920.958,98.756,1019.714,0.000452,0.002148,0.0013,312.06
brhc,34.75,24.313,24.593,48.906,7e-05,0.000103,8.7e-05,20.8
bronxcare,90.19,944.492,105.965,1050.457,0.000182,0.002213,0.001198,287.47
bryanhealth,32.28,53.695,33.882,87.577,6.5e-05,0.000185,0.000125,29.97
bsmhealth,2703.36,1645.762,5049.053,6694.814,0.005466,0.014105,0.011945,2866.92
bswhealth,4976.64,690.914,2872.572,3563.486,0.010063,0.007508,0.008785,2108.47
carene,46.31,1504.22,33.395,1537.616,9.4e-05,0.00324,0.001667,399.99
catholichealth,1095.68,356.697,989.861,1346.558,0.002215,0.002837,0.002526,606.3
cchcs,2027.52,1190.58,490.608,1681.188,0.0041,0.003542,0.003821,917.0
cchcs_production,31.85,0.0,0.0,0.0,6.4e-05,0.0,3.2e-05,7.73
cchmc,2129.92,682.675,556.942,1239.616,0.004307,0.002612,0.003459,830.21
cedarsinai,2170.88,1264.624,1235.469,2500.093,0.004389,0.005267,0.004828,1158.83
cghmc,165.57,1346.063,47.343,1393.406,0.000335,0.002936,0.001635,392.46
chartercare,14.54,633.196,1139.905,1773.101,2.9e-05,0.003736,0.001883,451.82
childrensal,169.79,45.183,141.215,186.398,0.000343,0.000393,0.000368,88.32
childrensmn,24.47,395.766,11.164,406.929,4.9e-05,0.000857,0.000453,108.82
childrensomaha,666.85,38.824,161.765,200.589,0.001348,0.000423,0.000885,212.52
chla,316.91,1186.105,179.448,1365.553,0.000641,0.002877,0.001759,422.14
chnct,5.43,1093.898,1.472,1095.37,1.1e-05,0.002308,0.001159,278.26
chop,2856.96,1229.574,1372.717,2602.291,0.005777,0.005483,0.00563,1351.14
christhospital,989.36,1516.801,609.386,2126.187,0.002,0.00448,0.00324,777.61
christus,2017.28,1022.13,1984.889,3007.02,0.004079,0.006335,0.005207,1249.73
clevelandclin,12615.68,1057.817,6256.925,7314.742,0.025509,0.015411,0.017936,4304.57
comhs,2529.28,1305.313,326.341,1631.654,0.005114,0.003438,0.004276,1026.23
config,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.01
cottagehealth,394.26,1062.5,208.813,1271.312,0.000797,0.002679,0.001738,417.09
crisphealth,148.06,1577.854,64.032,1641.886,0.000299,0.003459,0.001879,451.04
crisphealthfl,0.138,1049.81,0.64,1050.449,0.0,0.002213,0.001107,265.62
crmcwy,195.62,1113.161,71.918,1185.079,0.000396,0.002497,0.001446,347.09
ctca,248.36,1150.534,470.662,1621.196,0.000502,0.003416,0.001959,470.14
ctchildrens,246.29,1050.079,98.33,1148.409,0.000498,0.00242,0.001459,350.11
cynchealthia,0.004,1505.183,0.685,1505.868,0.0,0.003173,0.001586,380.73
danafarber,4556.8,1479.532,1037.246,2516.778,0.009214,0.005303,0.007258,1741.97
davita,39.43,16.302,0.357,16.659,8e-05,3.5e-05,5.7e-05,13.78
dchsystem,335.65,941.247,60.694,1001.941,0.000679,0.002111,0.001395,334.76
deaconess,3358.72,618.952,899.348,1518.3,0.006791,0.003199,0.004995,1198.82
deborah,228.17,843.574,14.817,858.391,0.000461,0.001809,0.001135,272.39
demofull,0.952,12.378,0.528,12.907,2e-06,2.7e-05,1.5e-05,3.49
denverhealth,1249.28,1106.041,369.846,1475.887,0.002526,0.00311,0.002818,676.27
drtest,0.001,10.203,0.311,10.514,0.0,2.2e-05,1.1e-05,2.66
duhs,10854.4,820.925,1435.955,2256.88,0.021947,0.004755,0.013351,3204.3
duly,1126.4,835.424,817.487,1652.91,0.002278,0.003483,0.00288,691.21
erl,1976.32,1326.443,469.71,1796.153,0.003996,0.003784,0.00389,933.65
eskenazihealth,919.49,1703.451,402.35,2105.801,0.001859,0.004437,0.003148,755.51
etlopen,0.002,6.89,0.017,6.907,0.0,1.5e-05,7e-06,1.75
excela,499.52,1537.612,366.508,1904.12,0.00101,0.004012,0.002511,602.62
fairview,4741.12,834.58,1114.081,1948.66,0.009586,0.004106,0.006846,1643.05
flcancer,122.15,1088.82,692.578,1781.398,0.000247,0.003753,0.002,480.02
franciscan,2191.36,1112.12,1337.286,2449.406,0.004431,0.005161,0.004796,1150.98
froedtert,3870.72,345.511,2497.517,2843.028,0.007827,0.00599,0.006908,1657.98
gbmc,693.26,1090.969,207.862,1298.832,0.001402,0.002737,0.002069,496.59
gjhosp,41.33,21.742,13.214,34.956,8.4e-05,7.4e-05,7.9e-05,18.87
grh,206.59,1357.287,30.243,1387.53,0.000418,0.002923,0.001671,400.93
hackensack,5775.36,516.786,1226.019,1742.805,0.011678,0.003672,0.007675,1841.95
hcmed,347.51,459.753,293.459,753.212,0.000703,0.001587,0.001145,274.75
healthpartners,6103.04,984.926,1613.797,2598.723,0.01234,0.005475,0.008908,2137.86
heywood,129.07,1069.956,22.976,1092.931,0.000261,0.002303,0.001282,307.64
hfhs,3450.88,1133.244,1734.832,2868.076,0.006978,0.006043,0.00651,1562.44
hhchealth,200.54,1235.113,403.127,1638.239,0.000405,0.003452,0.001929,462.85
hhcs,79.96,710.458,73.945,784.403,0.000162,0.001653,0.000907,217.72
hhsc,34.03,881.458,1.102,882.56,6.9e-05,0.001859,0.000964,231.39
hhsnj,157.47,983.465,84.718,1068.183,0.000318,0.002251,0.001284,308.27
hilo,4.37,856.128,10.673,866.801,9e-06,0.001826,0.000918,220.21
hmc,124.03,1123.795,38.206,1162.001,0.000251,0.002448,0.00135,323.88
honorhealth,3491.84,490.589,891.613,1382.202,0.00706,0.002912,0.004986,1196.71
hph,1873.92,1891.127,502.753,2393.879,0.003789,0.005044,0.004416,1059.92
ihs,8734.72,1241.119,1828.337,3069.456,0.017661,0.006467,0.012064,2895.42
infirmary,826.38,1533.343,373.609,1906.951,0.001671,0.004018,0.002844,682.64
iowaclinic,115.09,1573.527,66.266,1639.793,0.000233,0.003455,0.001844,442.51
iuhealth,6533.12,742.5,1771.989,2514.489,0.01321,0.005298,0.009254,2220.92
jhah,598.55,965.246,222.181,1187.426,0.00121,0.002502,0.001856,445.45
jhhs,8755.2,820.797,1628.337,2449.134,0.017703,0.00516,0.011431,2743.56
johnmuir,2703.36,1398.31,620.396,2018.706,0.005466,0.004253,0.00486,1166.32
kernmedical,12.42,1079.302,10.291,1089.593,2.5e-05,0.002296,0.00116,278.49
keystonehealth,401.69,264.58,1523.658,1788.238,0.000812,0.003768,0.00229,549.58
lahey,3553.28,789.177,2055.726,2844.904,0.007185,0.005994,0.006589,1581.43
leonmedical,730.45,1143.473,209.734,1353.207,0.001477,0.002851,0.002164,519.36
lexclin,772.96,1356.003,159.815,1515.818,0.001563,0.003194,0.002378,570.79
lexhealth,1146.88,1619.609,385.642,2005.251,0.002319,0.004225,0.003272,785.26
local,1802.24,0.0,0.0,0.0,0.003644,0.0,0.001822,437.29
luriechildrens,1484.8,1038.453,328.278,1366.731,0.003002,0.00288,0.002941,705.82
mahec,33.86,996.887,14.196,1011.083,6.8e-05,0.00213,0.001099,263.85
mariongeneral,176.15,1668.485,328.032,1996.517,0.000356,0.004206,0.002281,547.51
mauryregional,308.39,1453.758,101.747,1555.505,0.000624,0.003277,0.00195,468.1
mayo,14735.36,687.918,3846.799,4534.717,0.029795,0.009554,0.014614,3507.43
mcleodhealth,795.93,1070.23,651.046,1721.276,0.001609,0.003627,0.002618,628.31
memorialcare,1781.76,1521.6,461.124,1982.723,0.003603,0.004177,0.00389,933.61
mercy,1832.96,693.304,2019.307,2712.611,0.003706,0.005715,0.004711,1130.57
mercyic,15.71,12.708,0.358,13.066,3.2e-05,2.8e-05,3e-05,7.12
meritushealth,820.67,1087.08,226.63,1313.709,0.001659,0.002768,0.002214,531.27
mgmc,807.36,1572.211,209.83,1782.042,0.001632,0.003755,0.002694,646.45
mhsystem,302.05,1140.137,127.107,1267.243,0.000611,0.00267,0.00164,393.68
millennium,2928.64,423.551,626.582,1050.133,0.005922,0.002213,0.004067,976.1
mlh,327.01,1472.289,488.468,1960.758,0.000661,0.004131,0.002396,575.08
mlhs,4167.68,1193.74,1248.521,2442.261,0.008427,0.005146,0.006786,1628.71
moffitt,670.85,908.113,130.909,1039.022,0.001356,0.002189,0.001773,425.47
msmc,120.94,121.425,83.71,205.135,0.000245,0.000432,0.000338,81.21
multicare,6666.24,592.86,1734.997,2327.857,0.013479,0.004905,0.009192,2206.03
musc,1484.8,788.163,3480.512,4268.675,0.003002,0.008994,0.007496,1798.99
nchmd,279.05,963.084,755.014,1718.098,0.000564,0.00362,0.002092,502.09
nebraskamed,832.61,153.285,1815.426,1968.711,0.001684,0.004148,0.002916,699.77
nehii,3.19,1164.162,1.572,1165.733,6e-06,0.002456,0.001231,295.5
nicklaushealth,648.86,1261.675,87.608,1349.283,0.001312,0.002843,0.002077,498.57
nitrogen,0.06,10.837,0.342,11.179,0.0,2.4e-05,1.2e-05,2.84
nm,9830.4,1326.128,3378.209,4704.337,0.019877,0.009912,0.012403,2976.69
nmhs,17.46,63.33,66.624,129.953,3.5e-05,0.000274,0.000155,37.09
northside,1085.44,685.697,2940.471,3626.168,0.002195,0.00764,0.004917,1180.16
novanthealth,10188.8,603.395,4111.264,4714.659,0.020602,0.009933,0.0126,3024.09
nyulangone,1341.44,675.584,2596.268,3271.852,0.002712,0.006893,0.004803,1152.7
ohiohealth,6625.28,1022.947,2167.867,3190.815,0.013396,0.006723,0.010059,2414.27
ohip,13.25,861.018,1.513,862.531,2.7e-05,0.001817,0.000922,221.29
ohsu,2682.88,114.482,784.886,899.368,0.005425,0.001895,0.00366,878.35
orlandohealth,93.31,1026.602,196.914,1223.516,0.000189,0.002578,0.001383,331.98
osumc,1392.64,1491.989,1041.692,2533.681,0.002816,0.005338,0.004077,978.49
ouhealth,17.33,1237.314,8.149,1245.463,3.5e-05,0.002624,0.00133,319.09
overlake,259.28,1005.851,199.331,1205.182,0.000524,0.002539,0.001532,367.61
pah,34.0,858.567,17.777,876.345,6.9e-05,0.001846,0.000958,229.81
parkview,4106.24,496.785,1144.561,1641.347,0.008303,0.003458,0.00588,1411.31
peacehealth,2508.8,943.765,1033.677,1977.442,0.005073,0.004166,0.00462,1108.68
phs,2478.08,1029.167,822.839,1852.007,0.005011,0.003902,0.004456,1069.52
physicianseast,28.39,1575.74,18.948,1594.687,5.7e-05,0.00336,0.001709,410.07
pleasantvalley,26.68,887.055,10.994,898.049,5.4e-05,0.001892,0.000973,233.52
ppchn,230.84,878.328,423.879,1302.207,0.000467,0.002744,0.001605,385.24
pppsw,8.95,1339.922,124.822,1464.744,1.8e-05,0.003086,0.001552,372.5
premierhealth,2785.28,1241.185,982.449,2223.634,0.005632,0.004685,0.005158,1238.01
primehc,1423.36,1196.366,359.855,1556.221,0.002878,0.003279,0.003078,738.82
prismahealth,3205.12,1780.101,1938.806,3718.907,0.006481,0.007835,0.007158,1717.93
priviahealth,2969.6,1231.455,1739.024,2970.479,0.006004,0.006258,0.006131,1471.56
psjhealth,28579.84,787.981,10306.273,11094.254,0.057788,0.023374,0.031978,7674.68
rchsd,884.84,1478.082,356.455,1834.537,0.001789,0.003865,0.002827,678.52
riverside,193.59,1195.887,80.569,1276.456,0.000391,0.002689,0.00154,369.7
rochester,5335.04,714.257,1325.063,2039.32,0.010787,0.004297,0.007542,1810.08
rocregional,2764.8,1182.388,1219.272,2401.661,0.00559,0.00506,0.005325,1278.05
rush,2519.04,1409.144,645.081,2054.225,0.005093,0.004328,0.004711,1130.58
rwjbh,5580.8,1158.238,3437.685,4595.923,0.011284,0.009683,0.010083,2420.02
saintlukeskc,2222.08,1173.323,733.017,1906.34,0.004493,0.004016,0.004255,1021.14
samhealth,820.28,1358.002,368.21,1726.212,0.001659,0.003637,0.002648,635.47
sanfordhealth,7813.12,1043.164,1993.22,3036.385,0.015798,0.006397,0.011098,2663.44
saratoga,83.21,1467.146,1.075,1468.22,0.000168,0.003093,0.001631,391.4
sclhealth,3584.0,854.751,1570.535,2425.286,0.007247,0.00511,0.006178,1482.79
sech,1269.76,2027.138,321.548,2348.687,0.002567,0.004948,0.003758,901.9
selfregional,181.92,1490.273,245.813,1736.086,0.000368,0.003658,0.002013,483.07
sh,14151.68,1526.984,5290.18,6817.164,0.028615,0.014363,0.017926,4302.22
shannonhealth,28.63,1197.203,2458.059,3655.262,5.8e-05,0.007701,0.00388,931.1
sharp,1576.96,730.802,3164.636,3895.438,0.003189,0.008207,0.005698,1367.5
shrinenet,35.1,1382.902,12.062,1394.964,7.1e-05,0.002939,0.001505,361.2
sjrh,15.14,1088.896,119.453,1208.349,3.1e-05,0.002546,0.001288,309.18
skagit,1105.92,920.186,226.319,1146.505,0.002236,0.002416,0.002326,558.21
slhs,3819.52,1028.913,1014.367,2043.28,0.007723,0.004305,0.006014,1443.36
slvhealth,46.97,1142.469,17.147,1159.616,9.5e-05,0.002443,0.001269,304.58
southcoast,1925.12,1457.258,1292.705,2749.963,0.003893,0.005794,0.004843,1162.37
sparrow,2365.44,532.476,926.148,1458.624,0.004783,0.003073,0.003928,942.73
spectrum,8519.68,1697.243,6782.976,8480.219,0.017227,0.017867,0.017707,4249.65
spireortho,17.06,1642.64,0.919,1643.559,3.4e-05,0.003463,0.001749,419.68
stanford,6932.48,1317.433,2911.903,4229.336,0.014017,0.008911,0.010187,2444.98
stelizabeth,1341.44,1429.696,954.149,2383.844,0.002712,0.005023,0.003867,928.19
stjude,96.22,864.922,61.895,926.817,0.000195,0.001953,0.001074,257.67
svmcwy,33.17,1246.377,19.709,1266.086,6.7e-05,0.002668,0.001367,328.15
templehealth,1474.56,942.477,544.202,1486.679,0.002982,0.003132,0.003057,733.66
tfhc,142.78,1065.635,166.305,1231.941,0.000289,0.002596,0.001442,346.11
tidelands,969.27,945.734,1674.107,2619.841,0.00196,0.00552,0.00374,897.55
tmcaz,323.39,1180.821,377.763,1558.584,0.000654,0.003284,0.001969,472.52
towerhealth,1443.84,90.491,633.231,723.722,0.002919,0.001525,0.002222,533.31
training,0.049,12.037,0.383,12.42,0.0,2.6e-05,1.3e-05,3.15
tulane,0.818,1197.002,3.794,1200.796,2e-06,0.00253,0.001266,303.79
tvhealth,160.49,942.092,86.684,1028.775,0.000325,0.002168,0.001246,299.04
uams,1771.52,373.824,379.544,753.368,0.003582,0.001587,0.002585,620.31
ucdmc,3870.72,1035.817,816.403,1852.221,0.007827,0.003902,0.005864,1407.48
uchealth,9256.96,640.562,2377.802,3018.364,0.018717,0.006359,0.012538,3009.22
uchicagomed,830.53,1854.155,212.525,2066.68,0.001679,0.004354,0.003017,724.03
ucihealth,5724.16,1065.506,2336.379,3401.885,0.011574,0.007167,0.009371,2248.99
ucla,6410.24,1198.033,2411.939,3609.972,0.012961,0.007606,0.010284,2468.07
ucsd,4075.52,254.805,2970.767,3225.572,0.008241,0.006796,0.007518,1804.39
ucsfhealth,3747.84,871.468,1664.364,2535.832,0.007578,0.005343,0.00646,1550.5
ufhealth,2160.64,1107.188,1699.16,2806.348,0.004369,0.005913,0.005141,1233.78
uhs,206.23,942.833,239.797,1182.63,0.000417,0.002492,0.001454,349.04
ukhs,2457.6,1525.887,912.594,2438.481,0.004969,0.005138,0.005053,1212.82
umassmemorial,2416.64,961.362,793.369,1754.731,0.004886,0.003697,0.004292,1030.01
umc,61.47,517.233,66.455,583.687,0.000124,0.00123,0.000677,162.49
umiamihealth,3358.72,1425.56,936.771,2362.331,0.006791,0.004977,0.005884,1412.22
umm,4823.04,1127.156,1869.232,2996.387,0.009752,0.006313,0.008033,1927.82
unchc,9717.76,2413.287,2906.279,5319.566,0.019649,0.011208,0.013318,3196.35
unhs,37.63,1587.449,7.119,1594.568,7.6e-05,0.00336,0.001718,412.28
unitypoint,12595.2,1065.607,3218.006,4283.613,0.025467,0.009025,0.013136,3152.56
uoflhealth,1310.72,946.515,395.881,1342.396,0.00265,0.002828,0.002739,657.43
uphs,13588.48,1090.357,11237.577,12327.934,0.027476,0.025974,0.026349,6323.8
usahealth,22.53,24.306,25.915,50.221,4.6e-05,0.000106,7.6e-05,18.16
usckeck,83.6,272.776,315.811,588.587,0.000169,0.00124,0.000705,169.1
utmedical,57.25,25.024,32.962,57.985,0.000116,0.000122,0.000119,28.55
valleychildren,469.54,651.231,216.243,867.474,0.000949,0.001828,0.001389,333.25
valleyhealth,1904.64,896.342,824.392,1720.734,0.003851,0.003625,0.003738,897.19
valleypres,290.58,1393.512,17.696,1411.208,0.000588,0.002973,0.00178,427.3
vhc,754.78,42.445,108.094,150.539,0.001526,0.000317,0.000922,221.2
vidh,4239.36,1035.467,1453.308,2488.775,0.008572,0.005244,0.006908,1657.86
villagemd,847.65,1047.932,527.997,1575.929,0.001714,0.00332,0.002517,604.11
virtua,1710.08,1177.927,1216.627,2394.554,0.003458,0.005045,0.004251,1020.34
wakemed,2508.8,1011.362,595.702,1607.065,0.005073,0.003386,0.004229,1015.04
welbehealth,31.94,1348.429,36.101,1384.531,6.5e-05,0.002917,0.001491,357.8
wellspan,6400.0,388.317,1500.808,1889.125,0.012941,0.00398,0.00846,2030.51
whidbeyhealth,110.71,1319.687,59.021,1378.708,0.000224,0.002905,0.001564,375.44
wmc,294.01,1290.283,93.546,1383.829,0.000594,0.002916,0.001755,421.21
ynhhs,10045.44,1272.984,3372.067,4645.051,0.020312,0.009787,0.012418,2980.3
client,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
