Client,Data_GB,Avg_Read_Ops_s,Avg_Write_Ops_s,Total_IOPS,Data_Share,IOPS_Share,Weighted_Share,Monthly_Cost
christus,2017.28,1022.13,1984.889,3007.02,0.004079,0.006335,0.006335,1520.51
clevelandclin,12615.68,1057.817,6256.925,7314.742,0.025509,0.015411,0.015411,3698.73
comhs,2529.28,1305.313,326.341,1631.654,0.005114,0.003438,0.003438,825.05
config,0.037,0,0,0,0,0,0,0
cottagehealth,394.26,1062.5,208.813,1271.312,0.000797,0.002679,0.002679,642.85
crisphealth,148.06,1577.854,64.032,1641.886,0.000299,0.003459,0.003459,830.23
crisphealthfl,0.138,1049.81,0.64,1050.449,0,0.002213,0.002213,531.16
crmcwy,195.62,1113.161,71.918,1185.079,0.000396,0.002497,0.002497,599.24
ctca,248.36,1150.534,470.662,1621.196,0.000502,0.003416,0.003416,819.77
ctchildrens,246.29,1050.079,98.33,1148.409,0.000498,0.00242,0.00242,580.7
cynchealthia,0.004,1505.183,0.685,1505.868,0,0.003173,0.003173,761.45
danafarber,4556.8,1479.532,1037.246,2516.778,0.009214,0.005303,0.005303,1272.62
davita,39.43,16.302,0.357,16.659,8.00E-05,3.50E-05,3.50E-05,8.42
dchsystem,335.65,941.247,60.694,1001.941,0.000679,0.002111,0.002111,506.64
deaconess,3358.72,618.952,899.348,1518.3,0.006791,0.003199,0.003199,767.74
deborah,228.17,843.574,14.817,858.391,0.000461,0.001809,0.001809,434.05
demofull,0.952,12.378,0.528,12.907,2.00E-06,2.70E-05,2.70E-05,6.53
denverhealth,1249.28,1106.041,369.846,1475.887,0.002526,0.00311,0.00311,746.29
drtest,0.001,10.203,0.311,10.514,0,2.20E-05,2.20E-05,5.32
duhs,10854.4,820.925,1435.955,2256.88,0.021947,0.004755,0.004755,1141.2
duly,1126.4,835.424,817.487,1652.91,0.002278,0.003483,0.003483,835.8
erl,1976.32,1326.443,469.71,1796.153,0.003996,0.003784,0.003784,908.23
eskenazihealth,919.49,1703.451,402.35,2105.801,0.001859,0.004437,0.004437,1064.81
etlopen,0.002,6.89,0.017,6.907,0,1.50E-05,1.50E-05,3.49
excela,499.52,1537.612,366.508,1904.12,0.00101,0.004012,0.004012,962.83
fairview,4741.12,834.58,1114.081,1948.66,0.009586,0.004106,0.004106,985.35
flcancer,122.15,1088.82,692.578,1781.398,0.000247,0.003753,0.003753,900.77
franciscan,2191.36,1112.12,1337.286,2449.406,0.004431,0.005161,0.005161,1238.55
froedtert,3870.72,345.511,2497.517,2843.028,0.007827,0.00599,0.00599,1437.59
gbmc,693.26,1090.969,207.862,1298.832,0.001402,0.002737,0.002737,656.76
gjhosp,41.33,21.742,13.214,34.956,8.40E-05,7.40E-05,7.40E-05,17.68
grh,206.59,1357.287,30.243,1387.53,0.000418,0.002923,0.002923,701.61
hackensack,5775.36,516.786,1226.019,1742.805,0.011678,0.003672,0.003672,881.26
hcmed,347.51,459.753,293.459,753.212,0.000703,0.001587,0.001587,380.87
healthpartners,6103.04,984.926,1613.797,2598.723,0.01234,0.005475,0.005475,1314.06
heywood,129.07,1069.956,22.976,1092.931,0.000261,0.002303,0.002303,552.65
hfhs,3450.88,1133.244,1734.832,2868.076,0.006978,0.006043,0.006043,1450.26
hhchealth,200.54,1235.113,403.127,1638.239,0.000405,0.003452,0.003452,828.38
hhcs,79.96,710.458,73.945,784.403,0.000162,0.001653,0.001653,396.64
hhsc,34.03,881.458,1.102,882.56,6.90E-05,0.001859,0.001859,446.27
hhsnj,157.47,983.465,84.718,1068.183,0.000318,0.002251,0.002251,540.13
hilo,4.37,856.128,10.673,866.801,9.00E-06,0.001826,0.001826,438.3
hmc,124.03,1123.795,38.206,1162.001,0.000251,0.002448,0.002448,587.57
honorhealth,3491.84,490.589,891.613,1382.202,0.00706,0.002912,0.002912,698.92
hph,1873.92,1891.127,502.753,2393.879,0.003789,0.005044,0.005044,1210.48
ihs,8734.72,1241.119,1828.337,3069.456,0.017661,0.006467,0.006467,1552.08
infirmary,826.38,1533.343,373.609,1906.951,0.001671,0.004018,0.004018,964.26
iowaclinic,115.09,1573.527,66.266,1639.793,0.000233,0.003455,0.003455,829.17
iuhealth,6533.12,742.5,1771.989,2514.489,0.01321,0.005298,0.005298,1271.46
jhah,598.55,965.246,222.181,1187.426,0.00121,0.002502,0.002502,600.43
jhhs,8755.2,820.797,1628.337,2449.134,0.017703,0.00516,0.00516,1238.42
johnmuir,2703.36,1398.31,620.396,2018.706,0.005466,0.004253,0.004253,1020.77
kernmedical,12.42,1079.302,10.291,1089.593,2.50E-05,0.002296,0.002296,550.96
keystonehealth,401.69,264.58,1523.658,1788.238,0.000812,0.003768,0.003768,904.23
lahey,3553.28,789.177,2055.726,2844.904,0.007185,0.005994,0.005994,1438.54
leonmedical,730.45,1143.473,209.734,1353.207,0.001477,0.002851,0.002851,684.26
lexclin,772.96,1356.003,159.815,1515.818,0.001563,0.003194,0.003194,766.48
lexhealth,1146.88,1619.609,385.642,2005.251,0.002319,0.004225,0.004225,1013.96
local,1802.24,0,0,0,0.003644,0,0,0
luriechildrens,1484.8,1038.453,328.278,1366.731,0.003002,0.00288,0.00288,691.09
mahec,33.86,996.887,14.196,1011.083,6.80E-05,0.00213,0.00213,511.26
mariongeneral,176.15,1668.485,328.032,1996.517,0.000356,0.004206,0.004206,1009.55
mauryregional,308.39,1453.758,101.747,1555.505,0.000624,0.003277,0.003277,786.55
mayo,14735.36,687.918,3846.799,4534.717,0.029795,0.009554,0.009554,2293
mcleodhealth,795.93,1070.23,651.046,1721.276,0.001609,0.003627,0.003627,870.37
memorialcare,1781.76,1521.6,461.124,1982.723,0.003603,0.004177,0.004177,1002.57
mercy,1832.96,693.304,2019.307,2712.611,0.003706,0.005715,0.005715,1371.64
mercyic,15.71,12.708,0.358,13.066,3.20E-05,2.80E-05,2.80E-05,6.61
meritushealth,820.67,1087.08,226.63,1313.709,0.001659,0.002768,0.002768,664.28
mgmc,807.36,1572.211,209.83,1782.042,0.001632,0.003755,0.003755,901.1
mhsystem,302.05,1140.137,127.107,1267.243,0.000611,0.00267,0.00267,640.79
millennium,2928.64,423.551,626.582,1050.133,0.005922,0.002213,0.002213,531
mlh,327.01,1472.289,488.468,1960.758,0.000661,0.004131,0.004131,991.47
mlhs,4167.68,1193.74,1248.521,2442.261,0.008427,0.005146,0.005146,1234.94
moffitt,670.85,908.113,130.909,1039.022,0.001356,0.002189,0.002189,525.39
msmc,120.94,121.425,83.71,205.135,0.000245,0.000432,0.000432,103.73
multicare,6666.24,592.86,1734.997,2327.857,0.013479,0.004905,0.004905,1177.09
musc,1484.8,788.163,3480.512,4268.675,0.003002,0.008994,0.008994,2158.48
nchmd,279.05,963.084,755.014,1718.098,0.000564,0.00362,0.00362,868.76
nebraskamed,832.61,153.285,1815.426,1968.711,0.001684,0.004148,0.004148,995.49
nehii,3.19,1164.162,1.572,1165.733,6.00E-06,0.002456,0.002456,589.46
nicklaushealth,648.86,1261.675,87.608,1349.283,0.001312,0.002843,0.002843,682.27
nitrogen,0.06,10.837,0.342,11.179,0,2.40E-05,2.40E-05,5.65
nm,9830.4,1326.128,3378.209,4704.337,0.019877,0.009912,0.009912,2378.77
nmhs,17.46,63.33,66.624,129.953,3.50E-05,0.000274,0.000274,65.71
northside,1085.44,685.697,2940.471,3626.168,0.002195,0.00764,0.00764,1833.59
novanthealth,10188.8,603.395,4111.264,4714.659,0.020602,0.009933,0.009933,2383.99
nyulangone,1341.44,675.584,2596.268,3271.852,0.002712,0.006893,0.006893,1654.43
ohiohealth,6625.28,1022.947,2167.867,3190.815,0.013396,0.006723,0.006723,1613.45
ohip,13.25,861.018,1.513,862.531,2.70E-05,0.001817,0.001817,436.14
ohsu,2682.88,114.482,784.886,899.368,0.005425,0.001895,0.001895,454.77
orlandohealth,93.31,1026.602,196.914,1223.516,0.000189,0.002578,0.002578,618.68
osumc,1392.64,1491.989,1041.692,2533.681,0.002816,0.005338,0.005338,1281.17
ouhealth,17.33,1237.314,8.149,1245.463,3.50E-05,0.002624,0.002624,629.77
overlake,259.28,1005.851,199.331,1205.182,0.000524,0.002539,0.002539,609.41
pah,34,858.567,17.777,876.345,6.90E-05,0.001846,0.001846,443.13
parkview,4106.24,496.785,1144.561,1641.347,0.008303,0.003458,0.003458,829.95
peacehealth,2508.8,943.765,1033.677,1977.442,0.005073,0.004166,0.004166,999.9
phs,2478.08,1029.167,822.839,1852.007,0.005011,0.003902,0.003902,936.48
physicianseast,28.39,1575.74,18.948,1594.687,5.70E-05,0.00336,0.00336,806.36
pleasantvalley,26.68,887.055,10.994,898.049,5.40E-05,0.001892,0.001892,454.1
ppchn,230.84,878.328,423.879,1302.207,0.000467,0.002744,0.002744,658.47
pppsw,8.95,1339.922,124.822,1464.744,1.80E-05,0.003086,0.003086,740.65
premierhealth,2785.28,1241.185,982.449,2223.634,0.005632,0.004685,0.004685,1124.39
primehc,1423.36,1196.366,359.855,1556.221,0.002878,0.003279,0.003279,786.91
prismahealth,3205.12,1780.101,1938.806,3718.907,0.006481,0.007835,0.007835,1880.48
priviahealth,2969.6,1231.455,1739.024,2970.479,0.006004,0.006258,0.006258,1502.04
psjhealth,28579.84,787.981,10306.273,11094.254,0.057788,0.023374,0.023374,5609.86
rchsd,884.84,1478.082,356.455,1834.537,0.001789,0.003865,0.003865,927.64
riverside,193.59,1195.887,80.569,1276.456,0.000391,0.002689,0.002689,645.45
rochester,5335.04,714.257,1325.063,2039.32,0.010787,0.004297,0.004297,1031.19
rocregional,2764.8,1182.388,1219.272,2401.661,0.00559,0.00506,0.00506,1214.41
rush,2519.04,1409.144,645.081,2054.225,0.005093,0.004328,0.004328,1038.73
rwjbh,5580.8,1158.238,3437.685,4595.923,0.011284,0.009683,0.009683,2323.95
saintlukeskc,2222.08,1173.323,733.017,1906.34,0.004493,0.004016,0.004016,963.95
samhealth,820.28,1358.002,368.21,1726.212,0.001659,0.003637,0.003637,872.87
sanfordhealth,7813.12,1043.164,1993.22,3036.385,0.015798,0.006397,0.006397,1535.36
saratoga,83.21,1467.146,1.075,1468.22,0.000168,0.003093,0.003093,742.41
sclhealth,3584,854.751,1570.535,2425.286,0.007247,0.00511,0.00511,1226.36
sech,1269.76,2027.138,321.548,2348.687,0.002567,0.004948,0.004948,1187.62
selfregional,181.92,1490.273,245.813,1736.086,0.000368,0.003658,0.003658,877.86
sh,14151.68,1526.984,5290.18,6817.164,0.028615,0.014363,0.014363,3447.13
shannonhealth,28.63,1197.203,2458.059,3655.262,5.80E-05,0.007701,0.007701,1848.3
sharp,1576.96,730.802,3164.636,3895.438,0.003189,0.008207,0.008207,1969.75
shrinenet,35.1,1382.902,12.062,1394.964,7.10E-05,0.002939,0.002939,705.37
sjrh,15.14,1088.896,119.453,1208.349,3.10E-05,0.002546,0.002546,611.01
skagit,1105.92,920.186,226.319,1146.505,0.002236,0.002416,0.002416,579.74
slhs,3819.52,1028.913,1014.367,2043.28,0.007723,0.004305,0.004305,1033.19
slvhealth,46.97,1142.469,17.147,1159.616,9.50E-05,0.002443,0.002443,586.37
southcoast,1925.12,1457.258,1292.705,2749.963,0.003893,0.005794,0.005794,1390.53
sparrow,2365.44,532.476,926.148,1458.624,0.004783,0.003073,0.003073,737.56
spectrum,8519.68,1697.243,6782.976,8480.219,0.017227,0.017867,0.017867,4288.06
spireortho,17.06,1642.64,0.919,1643.559,3.40E-05,0.003463,0.003463,831.07
stanford,6932.48,1317.433,2911.903,4229.336,0.014017,0.008911,0.008911,2138.58
stelizabeth,1341.44,1429.696,954.149,2383.844,0.002712,0.005023,0.005023,1205.4
stjude,96.22,864.922,61.895,926.817,0.000195,0.001953,0.001953,468.65
svmcwy,33.17,1246.377,19.709,1266.086,6.70E-05,0.002668,0.002668,640.2
templehealth,1474.56,942.477,544.202,1486.679,0.002982,0.003132,0.003132,751.75
tfhc,142.78,1065.635,166.305,1231.941,0.000289,0.002596,0.002596,622.94
tidelands,969.27,945.734,1674.107,2619.841,0.00196,0.00552,0.00552,1324.73
tmcaz,323.39,1180.821,377.763,1558.584,0.000654,0.003284,0.003284,788.11
towerhealth,1443.84,90.491,633.231,723.722,0.002919,0.001525,0.001525,365.95
training,0.049,12.037,0.383,12.42,0,2.60E-05,2.60E-05,6.28
tulane,0.818,1197.002,3.794,1200.796,2.00E-06,0.00253,0.00253,607.19
tvhealth,160.49,942.092,86.684,1028.775,0.000325,0.002168,0.002168,520.2
uams,1771.52,373.824,379.544,753.368,0.003582,0.001587,0.001587,380.94
ucdmc,3870.72,1035.817,816.403,1852.221,0.007827,0.003902,0.003902,936.58
uchealth,9256.96,640.562,2377.802,3018.364,0.018717,0.006359,0.006359,1526.25
uchicagomed,830.53,1854.155,212.525,2066.68,0.001679,0.004354,0.004354,1045.03
ucihealth,5724.16,1065.506,2336.379,3401.885,0.011574,0.007167,0.007167,1720.18
ucla,6410.24,1198.033,2411.939,3609.972,0.012961,0.007606,0.007606,1825.4
ucsd,4075.52,254.805,2970.767,3225.572,0.008241,0.006796,0.006796,1631.03
ucsfhealth,3747.84,871.468,1664.364,2535.832,0.007578,0.005343,0.005343,1282.26
ufhealth,2160.64,1107.188,1699.16,2806.348,0.004369,0.005913,0.005913,1419.04
uhs,206.23,942.833,239.797,1182.63,0.000417,0.002492,0.002492,598
ukhs,2457.6,1525.887,912.594,2438.481,0.004969,0.005138,0.005138,1233.03
umassmemorial,2416.64,961.362,793.369,1754.731,0.004886,0.003697,0.003697,887.29
umc,61.47,517.233,66.455,583.687,0.000124,0.00123,0.00123,295.14
umiamihealth,3358.72,1425.56,936.771,2362.331,0.006791,0.004977,0.004977,1194.52
umm,4823.04,1127.156,1869.232,2996.387,0.009752,0.006313,0.006313,1515.14
unchc,9717.76,2413.287,2906.279,5319.566,0.019649,0.011208,0.011208,2689.86
unhs,37.63,1587.449,7.119,1594.568,7.60E-05,0.00336,0.00336,806.3
unitypoint,12595.2,1065.607,3218.006,4283.613,0.025467,0.009025,0.009025,2166.03
uoflhealth,1310.72,946.515,395.881,1342.396,0.00265,0.002828,0.002828,678.79
uphs,13588.48,1090.357,11237.577,12327.934,0.027476,0.025974,0.025974,6233.68
usahealth,22.53,24.306,25.915,50.221,4.60E-05,0.000106,0.000106,25.39
usckeck,83.6,272.776,315.811,588.587,0.000169,0.00124,0.00124,297.62
utmedical,57.25,25.024,32.962,57.985,0.000116,0.000122,0.000122,29.32
valleychildren,469.54,651.231,216.243,867.474,0.000949,0.001828,0.001828,438.64
valleyhealth,1904.64,896.342,824.392,1720.734,0.003851,0.003625,0.003625,870.1
valleypres,290.58,1393.512,17.696,1411.208,0.000588,0.002973,0.002973,713.58
vhc,754.78,42.445,108.094,150.539,0.001526,0.000317,0.000317,76.12
vidh,4239.36,1035.467,1453.308,2488.775,0.008572,0.005244,0.005244,1258.46
villagemd,847.65,1047.932,527.997,1575.929,0.001714,0.00332,0.00332,796.88
virtua,1710.08,1177.927,1216.627,2394.554,0.003458,0.005045,0.005045,1210.82
wakemed,2508.8,1011.362,595.702,1607.065,0.005073,0.003386,0.003386,812.62
welbehealth,31.94,1348.429,36.101,1384.531,6.50E-05,0.002917,0.002917,700.09
wellspan,6400,388.317,1500.808,1889.125,0.012941,0.00398,0.00398,955.24
whidbeyhealth,110.71,1319.687,59.021,1378.708,0.000224,0.002905,0.002905,697.15
wmc,294.01,1290.283,93.546,1383.829,0.000594,0.002916,0.002916,699.74
ynhhs,10045.44,1272.984,3372.067,4645.051,0.020312,0.009787,0.009787,2348.79
client,0,0,0,0,0,0,0,0
